word,frequency
って,6
Part,6
した,4
GPT,4
AWS,3
デプロイ,3
管理,3
環境,3
API,3
解決,3
AI,3
UI,3
変更,3
構築,3
資格,2
LT,2
でも,2
Kubernetes,2
アプリ,2
オープンデータ,2
ってみた,2
地図,2
Copilot,2
Cloud,2
問題,2
自分,2
チーム,2
める,2
実装,2
面倒,2
新卒,2
JAWS,2
UG,2
してみた,2
したい,2
対応,2
技術,2
Terraform,2
基本,2
連携,2
方法,2
挑戦,2
Windows,2
での,2
設定,2
いた,2
OS,2
出力,2
える,2
Pub,2
Sub,2
コード,2
からの,2
いを,2
公式,2
情報,2
ベース,2
でわかりやすく,2
解説,2
トレンド,1
ポッドキャスト,1
こう,1
ムーンショット,1
目標,1
とう,1
認定,1
ガバメントクラウド,1
運用,1
役立,1
ちそうな,1
福岡,1
Tech,1
大忘,1
Elixir,1
本気,1
Helm,1
一発,1
パッケージ,1
入門,1
本番,1
データベース,1
しそうになった,1
地方,1
自治,1
んでみる,1
俺以,1
一人,1
くらいは,1
しいかもしれない,1
Power,1
Automate,1
for,1
desktop,1
カスタム,1
アクション,1
セキュリティエンジニア,1
知識,1
んでみた,1
サーバーレス,1
タイル,1
