word,frequency
AI,7
設計,4
開発,4
Claude,3
技術,3
プログラミング,3
設定,3
API,3
しました,3
データ,3
Cursor,3
Microsoft,3
Gemini,3
Windows,2
実践,2
図解,2
トレンド,2
ポッドキャスト,2
こう,2
合格,2
ゼロ,2
情報,2
発表,2
セキュリティ,2
された,2
した,2
公開,2
取得,2
Docker,2
東京,2
Python,2
Swallow,2
したい,2
感想,2
Copilot,2
った,2
なし,2
Bedrock,2
デプロイ,2
推論,2
える,2
Power,2
日本,2
テスト,2
ってみた,2
サイト,2
実力,2
自動,2
になった,2
相談,2
Filesystem,1
MCP,1
Server,1
for,1
ローカルファイル,1
アクセス,1
Mermaid,1
記法,1
スキル,1
本文,1
ダブルチェック,1
体制,1
フロントエンド,1
実装,1
結果,1
ベクトルデータ,1
距離,1
いから,1
面白,1
いのだと,1
OpenCode,1
徹底,1
解剖,1
要素,1
って,1
一番大事,1
なのは,1
じゃないと,1
づいた,1
でわかる,1
ファイアウォール,1
ミス,1
セキュリティインシデント,1
防止,1
体験,1
IT,1
知識,1
韓国,1
基本,1
試験,1
FE,1
するまでの,1
Code,1
Security,1
され,1
暴落,1
数十,1
見逃,1
バグ,1
発見,1
