word,frequency
Claude,14
Code,9
AI,9
開発,8
API,7
ってみた,7
自動,5
してみた,5
LLM,5
AWS,4
——,4
比較,4
js,4
理解,4
エンジニア,4
解説,4
Google,4
実装,4
方法,3
参加,3
ガイド,3
徹底,3
MCP,3
入門,3
った,3
Design,3
時間,3
安全,3
個人,3
Next,3
した,3
デプロイ,2
動画,2
記録,2
問題,2
すると,2
環境,2
Rust,2
って,2
うのか,2
完全,2
ツール,2
駆動,2
のための,2
コード,2
cli,2
モード,2
LINE,2
SDK,2
モックサーバー,2
互換,2
手順,2
つの,2
投資,2
して,2
最初,2
type,2
れる,2
──,2
連携,2
わる,2
ワークフロー,2
合格,2
Workspace,2
Gemini,2
組織,2
管理,2
設定,2
モデル,2
とは,2
ブランドボイス,2
させる,2
パターン,2
処理,2
SNS,2
投稿,2
だけで,2
is,2
最強,2
コスト,2
における,2
エージェント,2
string,2
IPv,2
static,2
変数,2
for,2
CDK,1
初心,1
AgentCore,1
するまで,1
プロンプト,1
わった,1
Skills,1
自分,1
のやり,1
作成,1
？！】,1
mlx,1
whisper,1
