word,frequency
AI,10
アプリ,9
開発,7
Code,7
Claude,7
エンジニア,7
した,6
自動,6
設計,5
してみた,5
Android,4
Python,4
える,4
整理,4
AWS,4
なぜ,4
管理,4
個人,3
経済,3
入門,3
実践,3
GitHub,3
作成,3
公開,3
言語,3
情報,3
エージェント,3
生成,3
読書,2
感想,2
テスト,2
してみる,2
での,2
Swift,2
公式,2
拡張,2
機能,2
lock,2
方法,2
マクロ,2
じゃない,2
役割,2
への,2
依頼,2
レビュー,2
だけで,2
構築,2
自作,2
SharePoint,2
テーブル,2
アセンブリ,2
Java,2
Lambda,2
Rust,2
filter,2
関数,2
二重参照,2
なのか,2
による,2
結婚,2
IT,2
js,2
失敗,2
未経,2
PowerBI,2
った,2
コード,2
されたので,2
API,2
Skills,2
保守,2
でも,2
完全,2
技術,2
トレンド,2
比較,2
NotebookLM,2
ポッドキャスト,2
プロンプト,2
ガイド,2
ソフトウェアテスト,1
技法,1
ドリル,1
実際,1
テスター,1
募集,1
カバレッジ,1
安心,1
していいわけじゃない,1
Snowflake,1
Star,1
Schema,1
Data,1
Vault,1
VS,1
環境,1
フォーマッター,1
Could,1
not,1
open,1
