word,frequency
AI,18
Claude,17
Code,14
した,8
った,7
設計,6
理解,5
エンジニア,5
アプリ,5
開発,5
して,5
でも,4
完全,4
React,4
作成,4
AWS,4
実践,4
自動,4
コード,4
Python,3
プロンプト,3
解決,3
Agent,3
実装,3
構成,3
解説,3
ライブラリ,3
める,3
つの,3
理由,3
エージェント,3
API,3
Anthropic,3
って,3
CLI,3
歳未,2
経験,2
できた,2
可視,2
月額,2
コスト,2
管理,2
ガイド,2
生成,2
クイズ,2
ローカル,2
らない,2
Vibe,2
Coding,2
最初,2
ChatGPT,2
Cloud,2
活用,2
習記,2
推定,2
Deep,2
数値,2
データ,2
えない,2
GitHub,2
md,2
Lv,2
ターミナル,2
よく,2
便利,2
まとめ,2
かせる,2
LLM,2
新人,2
MCP,2
！「,2
全貌,2
Mac,2
Rust,2
差分,2
個人,2
bind,2
ワークフロー,2
ってみる,2
git,2
として,2
——,2
構築,2
確認,2
させてみた,2
検証,2
技術,2
日本,2
にする,2
世界,2
Web,2
機能,2
全体,2
された,2
記憶,2
構造,2
んだ,2
Gemini,2
Fargate,2
対処,2
