word,frequency
Claude,22
Code,19
AI,16
開発,15
した,12
API,8
完全,7
アプリ,6
ツール,6
AWS,6
個人,6
重要,5
運用,5
してみた,5
自作,5
実装,5
Docker,5
公開,5
機能,5
OCI,4
CLI,4
方法,4
拡張,4
役割,4
Web,4
Next,4
js,4
時代,4
ガイド,4
GitHub,4
MCP,4
設計,4
エンジニア,3
のための,3
Storage,3
検索,3
自動,3
への,3
プロジェクト,3
ブラウザ,3
コスト,3
コンテナ,3
Rust,3
解説,3
PostgreSQL,3
備忘,3
コマンド,3
まとめ,3
って,3
った,3
初心,3
理解,3
整理,3
して,3
エージェント,3
分類,3
月額,3
自分,3
Cursor,3
チーム,2
より,2
――,2
クオンツ,2
管理,2
になる,2
ファイル,2
Oracle,2
Object,2
Enterprise,2
Vector,2
品質,2
ってみた,2
小数,2
点数,2
複数,2
プラン,2
display,2
Edge,2
ローカル,2
作成,2
げた,2
らない,2
確認,2
になった,2
構成,2
デプロイ,2
をやってみた,2
Microsoft,2
ユーザー,2
制御,2
更新,2
エラー,2
対処,2
最強,2
Git,2
現場,2
サーバー,2
講座,2
との,2
分割,2
