word,frequency
AI,11
してみた,5
した,5
React,4
方法,4
Docker,3
WPF,3
れる,3
プロンプト,3
Amazon,3
技術,3
った,3
える,2
Oracle,2
DB,2
確認,2
目線,2
ってみた,2
会議,2
って,2
Google,2
実装,2
LLM,2
環境,2
日本,2
firebase,2
コマンド,2
ツール,2
不要,2
への,2
解説,2
自動,2
しました,2
しい,2
での,2
プロジェクト,2
Elixir,2
完全,2
Next,2
js,2
JavaScript,2
Developer,2
Kiro,2
めて,2
構築,2
CLI,2
便利,2
時代,2
Rails,2
理由,2
Agent,2
アプリ,2
コピー,2
is,2
Markdown,2
による,2
Site,2
キーボード,2
これだけ,1
れとけば,1
OK,1
オススメ,1
VSCode,1
拡張,1
機能,1
長距,1
離間,1
災対,1
遠隔,1
同期,1
インスタンス,1
Far,1
Sync,1
動作,1
AgentCoreObservability,1
ダッシュボード,1
実運,1
何円,1
ですか,1
Calender,1
API,1
いて,1
コスト,1
可視,1
コード,1
あなたは,1
〇〇,1
専門,1
はもうやめよう,1
性能,1
げる,1
おまじない,1
真実,1
MySQL,1
入力,1
できない,1
DataGrid,1
クリック,1
制御,1
command,1
