word,frequency
AI,21
Claude,14
開発,11
Code,10
してみた,8
した,7
AWS,6
React,6
して,5
える,5
自動,5
完全,4
って,4
構築,4
設計,4
ワークフロー,4
エージェント,4
API,4
Python,4
操作,4
Windows,3
Microsoft,3
時代,3
なぜ,3
コスト,3
──,3
Laravel,3
ガイド,3
現場,3
ブラウザ,3
LLM,3
Google,3
方法,3
ローカル,3
Codex,3
Agents,3
ツール,3
実践,3
トレンド,2
ポッドキャスト,2
こう,2
最初,2
企業,2
アドイン,2
無料,2
自作,2
Web,2
権限,2
UI,2
まる,2
Lambda,2
外部,2
属性,2
での,2
みを,2
った,2
写真,2
自然,2
しました,2
個人,2
運用,2
みと,2
対応,2
比較,2
SE,2
Oracle,2
Search,2
エンジニア,2
両方,2
アプリ,2
NotebookLM,2
させる,2
知識,2
基盤,2
理由,2
時間,2
者向,2
トークン,2
にした,2
つの,2
テクニック,2
テスト,2
せて,2
Gemini,2
める,2
駆動,2
近似,2
実装,2
公開,2
Hooks,2
——,2
導入,2
Figma,2
MCP,2
Cowork,2
作成,2
状態,1
では,1
rtf,1
ファイル,1
