word,frequency
AI,24
Claude,17
AWS,13
Code,12
してみた,8
Amazon,8
った,8
自動,7
Python,7
開発,7
Bedrock,6
ツール,5
React,5
入門,5
作成,5
エージェント,5
つの,4
Windows,4
構築,4
環境,4
設定,4
モデル,4
GitHub,4
完全,4
ガイド,4
生成,4
者向,4
した,3
Snowflake,3
管理,3
UI,3
──,3
コード,3
への,3
機能,3
CLI,3
問題,3
エンジニア,3
RAG,3
方法,3
実装,3
アプリ,3
体験,3
スキル,3
戦略,3
LLM,3
MCP,3
新卒,3
初心,3
べてみた,3
Gemini,3
IBM,3
回路,3
タスク,2
Terraform,2
本当,2
受験,2
Databricks,2
BI,2
メモリ,2
個人,2
整理,2
vs,2
かせたら,2
テスト,2
による,2
制御,2
変換,2
通知,2
れない,2
備忘,2
新人,2
理解,2
最強,2
になる,2
える,2
Knowledge,2
Lex,2
会話,2
とは,2
API,2
ハマ,2
JAWS,2
DAYS,2
セキュリティ,2
対処,2
検証,2
MTG,2
機械,2
Android,2
応用,2
情報,2
サーバー,2
まとめ,2
動画,2
全部,2
Google,2
参加,2
レポート,2
ServiceNow,2
