word,frequency
AI,9
して,6
開発,5
生成,5
AWS,5
した,5
Code,5
エンジニア,4
ってみた,4
Elixir,4
方法,4
でも,3
基礎,3
Cloud,3
Docker,3
Agent,3
構築,3
Claude,3
Day,3
自分,2
OSS,2
爆速,2
Data,2
参加,2
Oracle,2
Python,2
MDM,2
SaaS,2
ゼロ,2
RAG,2
活用,2
事例,2
code,2
には,2
Power,2
BI,2
してみた,2
SQL,2
れる,2
起動,2
Amazon,2
DX,2
るべき,2
作成,2
API,2
って,2
Gitlab,2
にする,2
Studio,2
非同,2
Lambda,2
本気,2
Kubernetes,2
Google,2
ワークフロー,2
Advent,2
of,2
くことを,2
メール,2
たちだけの,1
生産,1
性方,1
程式,1
活動,1
全然,1
Laravel,1
コントリビュート,1
できた,1
スピード,1
ナノバナナ,1
げる,1
スライドデザイン,1
備忘,1
Qlik,1
Talend,1
Integration,1
デザインシステム,1
るための,1
Vue,1
inheritAttrs,1
わったな,1
定量,1
――,1
ベイズ,1
変化,1
点検,1
実装,1
新卒,1
sre,1
んでよかった,1
してよかった,1
イベント,1
][,1
Autonomous,1
Database,1
]「,1
Select,1
for,1
。(,1
バズ,1
