word,frequency
Code,18
AI,18
Claude,16
時代,7
開発,6
設計,6
API,6
した,6
って,5
える,4
Copilot,4
MCP,4
してみた,4
方法,4
実装,4
日本,3
活用,3
ローカル,3
体験,3
LLM,3
Bedrock,3
Microsoft,3
とは,3
エンジニア,3
ツール,3
AWS,3
サービス,3
kit,3
esbuild,3
った,3
設定,3
パターン,3
みを,3
合格,3
Flutter,2
検索,2
ベクトル,2
テキスト,2
入門,2
マルチエージェント,2
構築,2
環境,2
コーディング,2
セキュリティ,2
ハーネスエンジニアリング,2
実践,2
GitHub,2
技術,2
整理,2
現場,2
登壇,2
しました,2
個人,2
Amazon,2
python,2
ファイル,2
ソースコード,2
確認,2
プロジェクト,2
自動,2
Review,2
PR,2
Agent,2
自分,2
Ollama,2
理由,2
アーキテクチャ,2
解決,2
安全,2
入口,2
一貫,2
実現,2
理解,2
作成,2
プログラミング,2
企業,2
関数,2
まとめ,2
Professional,2
SSH,2
意味,1
をやってみる,1
税収,1
兆円,1
土地,1
のものになるのか,1
Python,1
マクロ,1
経済,1
Spring,1
Boot,1
キャッチアップ,1
新機,1
フル,1
LGTM,1
スタック,1
可観,1
測性,1
Observability,1
しよう,1
